	EKA	KAH	MOA	MTK	PAH	TAN	WAI
APAP	1	1	0	1	1	1	0
COMW	1	1	1	1	1	1	1
HOFI	1	1	1	0	1	1	1
HWAM	1	1	1	0	1	1	1
JABW	1	1	1	1	1	1	1
JAWE	1	1	1	1	1	1	1
NOCA	1	1	1	0	1	1	1
OAAM	1	1	1	1	1	1	0
RBLE	1	1	1	1	1	1	1
RCCA	1	1	1	1	1	1	0
RVBU	1	1	1	1	1	1	1
RWBU	1	1	1	1	1	1	1
SPDO	1	1	1	0	1	1	1
WRSH	1	1	1	1	1	1	1
ZEDO	1	0	1	0	1	1	1
ERFR	1	1	0	0	1	0	1
KAPH	1	1	0	0	1	1	0
